Country,EducationLevel,YearsOfExperience,Salary
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,5.0,101910.0
Brazil,Bachelor's degree,14.0,16784.0
Brazil,Upper than Master's degree,15.0,130541.0
Canada,Bachelor's degree,25.0,109039.0
Other,Bachelor's degree,13.0,50000.0
Mexico,Bachelor's degree,3.0,16173.0
United States of America,Less than Bachelor's degree,18.0,165000.0
Other,Bachelor's degree,14.0,115000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,29.0,111961.0
Czech Republic,Less than Bachelor's degree,5.0,50037.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,12.0,114649.0
Spain,Upper than Master's degree,25.0,51555.0
Spain,Master's degree,5.0,64444.0
Canada,Bachelor's degree,30.0,94501.0
Serbia,Less than Bachelor's degree,3.0,18167.0
Spain,Bachelor's degree,6.0,69814.0
United States of America,Bachelor's degree,12.0,180000.0
Italy,Bachelor's degree,4.0,40277.0
Israel,Less than Bachelor's degree,9.0,106857.0
Germany,Master's degree,20.0,81629.0
United States of America,Bachelor's degree,10.0,172000.0
Poland,Bachelor's degree,3.0,50730.0
Czech Republic,Master's degree,9.0,39960.0
United States of America,Less than Bachelor's degree,10.0,96000.0
Portugal,Less than Bachelor's degree,2.0,18259.0
France,Master's degree,5.0,150369.0
Other,Master's degree,15.0,45111.0
United States of America,Bachelor's degree,5.0,70000.0
Austria,Less than Bachelor's degree,6.0,49407.0
Canada,Bachelor's degree,3.0,43616.0
United States of America,Bachelor's degree,2.0,65000.0
Other,Bachelor's degree,17.0,116000.0
United States of America,Bachelor's degree,18.0,31000.0
India,Bachelor's degree,22.0,50247.0
Canada,Less than Bachelor's degree,12.0,53793.0
United States of America,Bachelor's degree,3.0,88000.0
United States of America,Bachelor's degree,4.0,101500.0
Other,Less than Bachelor's degree,7.0,45000.0
Australia,Less than Bachelor's degree,8.0,105706.0
United States of America,Less than Bachelor's degree,29.0,120000.0
United States of America,Master's degree,20.0,185000.0
Canada,Less than Bachelor's degree,14.0,112674.0
Other,Less than Bachelor's degree,3.0,14200.0
Canada,Upper than Master's degree,11.0,163559.0
South Africa,Bachelor's degree,5.0,26904.0
"Iran, Islamic Republic of...",Bachelor's degree,4.0,12000.0
United States of America,Less than Bachelor's degree,24.0,120000.0
Canada,Bachelor's degree,3.0,54520.0
Ireland,Master's degree,23.0,128887.0
United States of America,Less than Bachelor's degree,18.0,115000.0
United States of America,Bachelor's degree,4.0,87000.0
Turkey,Bachelor's degree,17.0,77284.0
United States of America,Less than Bachelor's degree,20.0,150000.0
United States of America,Less than Bachelor's degree,10.0,145000.0
United States of America,Bachelor's degree,3.0,80000.0
Australia,Bachelor's degree,9.0,99099.0
United States of America,Less than Bachelor's degree,25.0,55000.0
France,Master's degree,4.0,29000.0
France,Master's degree,2.0,40814.0
Other,Bachelor's degree,17.0,25996.0
United States of America,Bachelor's degree,10.0,120000.0
Australia,Bachelor's degree,16.0,99099.0
United States of America,Bachelor's degree,15.0,150000.0
United States of America,Master's degree,6.0,114400.0
United States of America,Bachelor's degree,5.0,173000.0
Mexico,Bachelor's degree,5.0,30000.0
United States of America,Bachelor's degree,5.0,130000.0
Czech Republic,Master's degree,8.0,26061.0
United States of America,Bachelor's degree,0.0,57000.0
Other,Bachelor's degree,10.0,57000.0
Other,Bachelor's degree,8.0,45492.0
Other,Bachelor's degree,6.0,35555.0
United States of America,Bachelor's degree,9.0,84000.0
Greece,Master's degree,6.0,39203.0
United States of America,Bachelor's degree,6.0,100000.0
United States of America,Master's degree,4.0,70000.0
Brazil,Less than Bachelor's degree,5.0,12122.0
Canada,Bachelor's degree,2.0,94501.0
Ukraine,Upper than Master's degree,5.0,18883.0
Canada,Less than Bachelor's degree,7.0,109039.0
Other,Master's degree,6.0,98277.0
Australia,Bachelor's degree,19.0,132132.0
Other,Master's degree,3.0,39893.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,5.0,121018.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,25.0,49681.0
China,Master's degree,5.0,130000.0
United States of America,Bachelor's degree,9.0,118000.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,4.0,76384.0
United States of America,Bachelor's degree,4.0,108000.0
Australia,Less than Bachelor's degree,20.0,82582.0
New Zealand,Master's degree,3.0,68831.0
Italy,Bachelor's degree,11.0,48333.0
Brazil,Bachelor's degree,30.0,14919.0
United States of America,Bachelor's degree,15.0,105000.0
Ukraine,Less than Bachelor's degree,4.0,74052.0
Czech Republic,Less than Bachelor's degree,8.0,86870.0
Slovakia,Less than Bachelor's degree,2.0,15037.0
Canada,Bachelor's degree,10.0,101770.0
Other,Bachelor's degree,7.0,21125.0
Mexico,Bachelor's degree,13.0,32345.0
Australia,Less than Bachelor's degree,8.0,72673.0
Other,Bachelor's degree,5.0,61183.0
Portugal,Less than Bachelor's degree,5.0,32222.0
United States of America,Master's degree,7.0,163000.0
Germany,Less than Bachelor's degree,22.0,32222.0
Japan,Master's degree,10.0,76373.0
Indonesia,Bachelor's degree,5.0,12266.0
United States of America,Bachelor's degree,8.0,191000.0
Brazil,Less than Bachelor's degree,12.0,132000.0
Brazil,Bachelor's degree,3.0,16187.0
United States of America,Bachelor's degree,10.0,112000.0
Canada,Bachelor's degree,4.0,90866.0
Taiwan,Bachelor's degree,25.0,67945.0
United States of America,Bachelor's degree,22.0,120000.0
Brazil,Bachelor's degree,7.0,16784.0
Ukraine,Master's degree,10.0,60000.0
France,Upper than Master's degree,18.0,96818.0
Other,Less than Bachelor's degree,6.0,21523.0
Brazil,Bachelor's degree,5.0,14919.0
India,Master's degree,4.0,18783.0
United States of America,Bachelor's degree,7.0,192000.0
Australia,Bachelor's degree,7.0,72673.0
Australia,Bachelor's degree,12.0,118919.0
Australia,Bachelor's degree,1.0,56156.0
Other,Bachelor's degree,15.0,91295.0
India,Master's degree,8.0,28114.0
United States of America,Bachelor's degree,8.0,110000.0
New Zealand,Bachelor's degree,15.0,61457.0
Austria,Master's degree,23.0,32222.0
United States of America,Bachelor's degree,7.0,170000.0
Mexico,Less than Bachelor's degree,3.0,19407.0
Canada,Less than Bachelor's degree,22.0,87231.0
United States of America,Bachelor's degree,22.0,172000.0
New Zealand,Master's degree,4.0,67602.0
Argentina,Less than Bachelor's degree,16.0,30000.0
United States of America,Bachelor's degree,2.0,60000.0
Other,Bachelor's degree,3.0,26112.0
United States of America,Bachelor's degree,20.0,170000.0
Australia,Master's degree,15.0,109009.0
Australia,Bachelor's degree,6.0,110330.0
Other,Bachelor's degree,2.0,30000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,15.0,146496.0
United States of America,Master's degree,8.0,155000.0
Canada,Bachelor's degree,17.0,138117.0
Brazil,Bachelor's degree,20.0,38789.0
China,Bachelor's degree,3.0,75886.0
Canada,Less than Bachelor's degree,5.0,77054.0
Brazil,Master's degree,25.0,31703.0
Nigeria,Bachelor's degree,5.0,10166.0
United States of America,Master's degree,2.0,180000.0
Brazil,Less than Bachelor's degree,10.0,19395.0
United States of America,Bachelor's degree,3.0,70000.0
United States of America,Bachelor's degree,3.0,110000.0
Canada,Bachelor's degree,1.0,36346.0
Netherlands,Upper than Master's degree,6.0,85925.0
New Zealand,Bachelor's degree,6.0,79894.0
United States of America,Bachelor's degree,7.0,181500.0
United States of America,Bachelor's degree,21.0,160000.0
Brazil,Master's degree,16.0,55946.0
Brazil,Bachelor's degree,8.0,21819.0
Australia,Master's degree,8.0,173754.0
Other,Less than Bachelor's degree,16.0,150000.0
Australia,Bachelor's degree,4.0,95796.0
Other,Bachelor's degree,6.0,33054.0
Brazil,Less than Bachelor's degree,24.0,35806.0
New Zealand,Bachelor's degree,10.0,95258.0
Colombia,Bachelor's degree,10.0,45420.0
Spain,Bachelor's degree,1.0,59073.0
Canada,Master's degree,4.0,87231.0
Russian Federation,Master's degree,14.0,53835.0
Russian Federation,Bachelor's degree,13.0,30252.0
Brazil,Master's degree,12.0,27973.0
Other,Bachelor's degree,4.0,53757.0
Argentina,Less than Bachelor's degree,6.0,30000.0
Other,Bachelor's degree,13.0,21152.0
Australia,Less than Bachelor's degree,13.0,118919.0
Mexico,Bachelor's degree,10.0,64691.0
United States of America,Master's degree,24.0,170000.0
Australia,Master's degree,20.0,105706.0
Other,Less than Bachelor's degree,12.0,100000.0
United States of America,Bachelor's degree,26.0,170000.0
Australia,Bachelor's degree,3.0,62763.0
India,Bachelor's degree,3.0,10767.0
New Zealand,Bachelor's degree,2.0,43020.0
New Zealand,Bachelor's degree,30.0,82966.0
Canada,Master's degree,20.0,101770.0
Australia,Master's degree,22.0,99099.0
United States of America,Less than Bachelor's degree,25.0,150000.0
Other,Less than Bachelor's degree,2.0,34800.0
United States of America,Master's degree,7.0,186271.0
Australia,Master's degree,25.0,112312.0
United States of America,Master's degree,3.0,90000.0
United States of America,Bachelor's degree,8.0,144000.0
New Zealand,Upper than Master's degree,6.0,21510.0
United States of America,Master's degree,4.0,60000.0
Australia,Bachelor's degree,13.0,105706.0
India,Master's degree,15.0,63406.0
United States of America,Less than Bachelor's degree,30.0,130000.0
United States of America,Upper than Master's degree,6.0,125000.0
India,Bachelor's degree,8.0,23927.0
Other,Bachelor's degree,8.0,115194.0
Australia,Bachelor's degree,12.0,100420.0
Canada,Bachelor's degree,5.0,72693.0
United States of America,Bachelor's degree,4.0,100000.0
Canada,Less than Bachelor's degree,1.0,41435.0
Czech Republic,Master's degree,12.0,52122.0
Australia,Less than Bachelor's degree,1.0,49549.0
United States of America,Bachelor's degree,25.0,75000.0
Israel,Less than Bachelor's degree,26.0,53968.0
Other,Master's degree,8.0,17428.0
Other,Bachelor's degree,16.0,166811.0
United States of America,Master's degree,10.0,140000.0
India,Bachelor's degree,5.0,75370.0
Netherlands,Less than Bachelor's degree,7.0,45111.0
New Zealand,Bachelor's degree,10.0,89727.0
Mexico,Bachelor's degree,5.0,103505.0
Australia,Bachelor's degree,0.0,118919.0
Other,Bachelor's degree,5.0,53703.0
Canada,Bachelor's degree,7.0,102497.0
Czech Republic,Bachelor's degree,15.0,35182.0
Brazil,Bachelor's degree,13.0,46622.0
Germany,Bachelor's degree,6.0,56925.0
Switzerland,Less than Bachelor's degree,14.0,178267.0
Mexico,Bachelor's degree,4.0,20378.0
Japan,Less than Bachelor's degree,9.0,154782.0
Sweden,Upper than Master's degree,10.0,76307.0
Austria,Master's degree,7.0,82703.0
Taiwan,Master's degree,6.0,54974.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,13.0,60191.0
Austria,Upper than Master's degree,2.0,128887.0
United States of America,Bachelor's degree,9.0,170000.0
Russian Federation,Master's degree,8.0,50420.0
Finland,Bachelor's degree,10.0,49407.0
Russian Federation,Master's degree,10.0,44818.0
Slovakia,Less than Bachelor's degree,8.0,42962.0
India,Bachelor's degree,10.0,14356.0
United States of America,Bachelor's degree,0.0,80000.0
Other,Bachelor's degree,2.0,30718.0
United States of America,Less than Bachelor's degree,10.0,141000.0
United States of America,Bachelor's degree,28.0,135000.0
Other,Bachelor's degree,1.0,14662.0
Other,Bachelor's degree,7.0,33081.0
Russian Federation,Master's degree,7.0,92773.0
India,Bachelor's degree,2.0,15553.0
Germany,Less than Bachelor's degree,5.0,69814.0
Germany,Master's degree,3.0,69814.0
Ukraine,Master's degree,18.0,50651.0
Russian Federation,Master's degree,14.0,89636.0
Other,Bachelor's degree,2.0,64444.0
India,Bachelor's degree,6.0,19142.0
Italy,Master's degree,20.0,53703.0
Spain,Bachelor's degree,24.0,161109.0
Ukraine,Less than Bachelor's degree,7.0,39494.0
Greece,Bachelor's degree,15.0,96666.0
Australia,Bachelor's degree,6.0,90510.0
United States of America,Upper than Master's degree,9.0,103000.0
New Zealand,Bachelor's degree,4.0,58384.0
Other,Master's degree,17.0,103205.0
United States of America,Bachelor's degree,3.0,145000.0
Russian Federation,Master's degree,12.0,26891.0
Czech Republic,Less than Bachelor's degree,3.0,21717.0
Hungary,Master's degree,16.0,48916.0
China,Less than Bachelor's degree,10.0,65469.0
Other,Bachelor's degree,5.0,59073.0
China,Bachelor's degree,6.0,41392.0
France,Master's degree,2.0,46185.0
Russian Federation,Master's degree,7.0,69468.0
Spain,Upper than Master's degree,5.0,35014.0
France,Master's degree,5.0,59073.0
Poland,Bachelor's degree,3.0,51522.0
Japan,Less than Bachelor's degree,13.0,43278.0
India,Bachelor's degree,7.0,47854.0
Sweden,Bachelor's degree,24.0,187203.0
India,Bachelor's degree,2.0,10767.0
India,Bachelor's degree,15.0,59817.0
Pakistan,Bachelor's degree,6.0,13997.0
Australia,Master's degree,20.0,69369.0
Italy,Bachelor's degree,6.0,96666.0
Israel,Bachelor's degree,12.0,180000.0
Switzerland,Less than Bachelor's degree,3.0,83563.0
France,Master's degree,9.0,61436.0
Other,Less than Bachelor's degree,30.0,19333.0
Hungary,Upper than Master's degree,15.0,65221.0
Germany,Master's degree,9.0,85925.0
Denmark,Upper than Master's degree,15.0,108002.0
France,Less than Bachelor's degree,13.0,48333.0
Germany,Master's degree,5.0,109554.0
Austria,Bachelor's degree,14.0,64444.0
South Africa,Bachelor's degree,3.0,18080.0
India,Bachelor's degree,7.0,95708.0
"Iran, Islamic Republic of...",Master's degree,9.0,14494.0
Russian Federation,Bachelor's degree,2.0,16807.0
Romania,Bachelor's degree,3.0,56101.0
Germany,Master's degree,15.0,118147.0
India,Bachelor's degree,2.0,35890.0
Austria,Less than Bachelor's degree,4.0,50481.0
Australia,Master's degree,24.0,105706.0
Austria,Bachelor's degree,2.0,53703.0
India,Bachelor's degree,2.0,10049.0
India,Bachelor's degree,10.0,17945.0
Germany,Less than Bachelor's degree,15.0,110628.0
India,Bachelor's degree,3.0,19333.0
Italy,Less than Bachelor's degree,20.0,64444.0
Indonesia,Master's degree,20.0,26986.0
Other,Master's degree,2.0,23180.0
Germany,Less than Bachelor's degree,3.0,48333.0
Germany,Master's degree,5.0,62296.0
Switzerland,Bachelor's degree,20.0,144842.0
Canada,Bachelor's degree,11.0,181732.0
Sweden,Bachelor's degree,15.0,52461.0
Italy,Bachelor's degree,8.0,64444.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,7.0,97929.0
Switzerland,Master's degree,27.0,111417.0
Denmark,Master's degree,10.0,112322.0
Slovakia,Less than Bachelor's degree,23.0,70888.0
Indonesia,Bachelor's degree,5.0,18399.0
South Africa,Bachelor's degree,0.0,10331.0
Ukraine,Master's degree,3.0,36000.0
Italy,Less than Bachelor's degree,10.0,64444.0
South Africa,Bachelor's degree,12.0,54239.0
Sweden,Master's degree,21.0,68677.0
Australia,Upper than Master's degree,4.0,55495.0
Belgium,Bachelor's degree,11.0,42962.0
France,Master's degree,21.0,133700.0
Turkey,Bachelor's degree,3.0,24113.0
Germany,Bachelor's degree,6.0,68740.0
Germany,Upper than Master's degree,20.0,102036.0
India,Bachelor's degree,2.0,16091.0
Netherlands,Bachelor's degree,28.0,59073.0
Other,Master's degree,20.0,161109.0
Greece,Master's degree,27.0,42962.0
United States of America,Bachelor's degree,6.0,94000.0
India,Bachelor's degree,2.0,11963.0
